,0,1,avg_pre,avg_rec,avg_spe,avg_f1,avg_geo,avg_iba,total_support,Accuracy,AUC,MCC
pre,0.999683522047964,0.9302325581395349,0.9995640354698412,0.9995786664794073,0.8166423492200633,0.9995649495690057,0.903460234869013,0.8311723971936362,56962,0.9995786664794073,0.9777950326163105,0.8712158443726278
rec,0.9998944850872257,0.8163265306122449,0.9995640354698412,0.9995786664794073,0.8166423492200633,0.9995649495690057,0.903460234869013,0.8311723971936362,56962,0.9995786664794073,0.9777950326163105,0.8712158443726278
spe,0.8163265306122449,0.9998944850872257,0.9995640354698412,0.9995786664794073,0.8166423492200633,0.9995649495690057,0.903460234869013,0.8311723971936362,56962,0.9995786664794073,0.9777950326163105,0.8712158443726278
f1,0.9997889924388956,0.8695652173913043,0.9995640354698412,0.9995786664794073,0.8166423492200633,0.9995649495690057,0.903460234869013,0.8311723971936362,56962,0.9995786664794073,0.9777950326163105,0.8712158443726278
geo,0.903460234869013,0.903460234869013,0.9995640354698412,0.9995786664794073,0.8166423492200633,0.9995649495690057,0.903460234869013,0.8311723971936362,56962,0.9995786664794073,0.9777950326163105,0.8712158443726278
iba,0.8312239539747375,0.8012568380044065,0.9995640354698412,0.9995786664794073,0.8166423492200633,0.9995649495690057,0.903460234869013,0.8311723971936362,56962,0.9995786664794073,0.9777950326163105,0.8712158443726278
sup,56864.0,98.0,0.9995640354698412,0.9995786664794073,0.8166423492200633,0.9995649495690057,0.903460234869013,0.8311723971936362,56962,0.9995786664794073,0.9777950326163105,0.8712158443726278
