,0,1,avg_pre,avg_rec,avg_spe,avg_f1,avg_geo,avg_iba,total_support,Accuracy,AUC,MCC,Classification_Cost
pre,0.999736226634076,0.8736842105263158,0.9995193610468677,0.9995259997893332,0.8472017458953222,0.9995223221014685,0.9201956564601671,0.8596582553941403,56962,0.9995259997893332,0.9521723151838113,0.8599705330950153,9684816.299999999
rec,0.9997889701744513,0.8469387755102041,0.9995193610468677,0.9995259997893332,0.8472017458953222,0.9995223221014685,0.9201956564601671,0.8596582553941403,56962,0.9995259997893332,0.9521723151838113,0.8599705330950153,9684816.299999999
spe,0.8469387755102041,0.9997889701744513,0.9995193610468677,0.9995259997893332,0.8472017458953222,0.9995223221014685,0.9201956564601671,0.8596582553941403,56962,0.9995259997893332,0.9521723151838113,0.8599705330950153,9684816.299999999
f1,0.9997625977086282,0.8601036269430051,0.9995193610468677,0.9995259997893332,0.8472017458953222,0.9995223221014685,0.9201956564601671,0.8596582553941403,56962,0.9995259997893332,0.9521723151838113,0.8599705330950153,9684816.299999999
geo,0.9201956564601671,0.9201956564601671,0.9995193610468677,0.9995259997893332,0.8472017458953222,0.9995223221014685,0.9201956564601671,0.8596582553941403,56962,0.9995259997893332,0.9521723151838113,0.8599705330950153,9684816.299999999
iba,0.8597027899572289,0.8338173023790869,0.9995193610468677,0.9995259997893332,0.8472017458953222,0.9995223221014685,0.9201956564601671,0.8596582553941403,56962,0.9995259997893332,0.9521723151838113,0.8599705330950153,9684816.299999999
sup,56864.0,98.0,0.9995193610468677,0.9995259997893332,0.8472017458953222,0.9995223221014685,0.9201956564601671,0.8596582553941403,56962,0.9995259997893332,0.9521723151838113,0.8599705330950153,9684816.299999999
