,0,1,avg_pre,avg_rec,avg_spe,avg_f1,avg_geo,avg_iba,total_support,Accuracy,AUC,MCC
pre,0.9997889404812157,0.8113207547169812,0.9994646912939524,0.9994382219725431,0.8777610820597057,0.9994492174679401,0.936612177661376,0.8879164056191294,56962,0.9994382219725431,0.9692883413917057,0.8435074748463511
rec,0.9996482836240855,0.8775510204081632,0.9994646912939524,0.9994382219725431,0.8777610820597057,0.9994492174679401,0.936612177661376,0.8879164056191294,56962,0.9994382219725431,0.9692883413917057,0.8435074748463511
spe,0.8775510204081632,0.9996482836240855,0.9994646912939524,0.9994382219725431,0.8777610820597057,0.9994492174679401,0.936612177661376,0.8879164056191294,56962,0.9994382219725431,0.9692883413917057,0.8435074748463511
f1,0.9997186071051705,0.8431372549019608,0.9994646912939524,0.9994382219725431,0.8777610820597057,0.9994492174679401,0.936612177661376,0.8879164056191294,56962,0.9994382219725431,0.9692883413917057,0.8435074748463511
geo,0.9366121776613762,0.9366121776613762,0.9994646912939524,0.9994382219725431,0.8777610820597057,0.9994492174679401,0.936612177661376,0.8879164056191294,56962,0.9994382219725431,0.9692883413917057,0.8435074748463511
iba,0.8879532606153949,0.8665314820717755,0.9994646912939524,0.9994382219725431,0.8777610820597057,0.9994492174679401,0.936612177661376,0.8879164056191294,56962,0.9994382219725431,0.9692883413917057,0.8435074748463511
sup,56864.0,98.0,0.9994646912939524,0.9994382219725431,0.8777610820597057,0.9994492174679401,0.936612177661376,0.8879164056191294,56962,0.9994382219725431,0.9692883413917057,0.8435074748463511
