,0,1,avg_pre,avg_rec,avg_spe,avg_f1,avg_geo,avg_iba,total_support,Accuracy,AUC,MCC,Classification_Cost
pre,0.9992287765231663,0.009228844048177694,0.9975255358823434,0.8881183947192866,0.6025338453551338,0.9390921958987158,0.7314235072447837,0.5502585590805069,56962,0.8881183947192866,0.8640446629552214,0.06441855694618952,71857145.56999998
rec,0.8886114237478897,0.6020408163265306,0.9975255358823434,0.8881183947192866,0.6025338453551338,0.9390921958987158,0.7314235072447837,0.5502585590805069,56962,0.8881183947192866,0.8640446629552214,0.06441855694618952,71857145.56999998
spe,0.6020408163265306,0.8886114237478897,0.9975255358823434,0.8881183947192866,0.6025338453551338,0.9390921958987158,0.7314235072447837,0.5502585590805069,56962,0.8881183947192866,0.8640446629552214,0.06441855694618952,71857145.56999998
f1,0.9406793071030317,0.018179017100600832,0.9975255358823434,0.8881183947192866,0.6025338453551338,0.9390921958987158,0.7314235072447837,0.5502585590805069,56962,0.8881183947192866,0.8640446629552214,0.06441855694618952,71857145.56999998
geo,0.7314235072447837,0.7314235072447837,0.9975255358823434,0.8881183947192866,0.6025338453551338,0.9390921958987158,0.7314235072447837,0.5502585590805069,56962,0.8881183947192866,0.8640446629552214,0.06441855694618952,71857145.56999998
iba,0.5503113112486626,0.5196493826518576,0.9975255358823434,0.8881183947192866,0.6025338453551338,0.9390921958987158,0.7314235072447837,0.5502585590805069,56962,0.8881183947192866,0.8640446629552214,0.06441855694618952,71857145.56999998
sup,56864.0,98.0,0.9975255358823434,0.8881183947192866,0.6025338453551338,0.9390921958987158,0.7314235072447837,0.5502585590805069,56962,0.8881183947192866,0.8640446629552214,0.06441855694618952,71857145.56999998
