,0,1,avg_pre,avg_rec,avg_spe,avg_f1,avg_geo,avg_iba,total_support,Accuracy,AUC,MCC
pre,0.9997537292428933,0.7368421052631579,0.9993014041990042,0.9992275552122467,0.8573877273667386,0.9992566497282203,0.9255758479853633,0.8688419358104124,56962,0.9992275552122467,0.9733259018294994,0.7943420226337675
rec,0.9994724254361284,0.8571428571428571,0.9993014041990042,0.9992275552122467,0.8573877273667386,0.9992566497282203,0.9255758479853633,0.8688419358104124,56962,0.9992275552122467,0.9733259018294994,0.7943420226337675
spe,0.8571428571428571,0.9994724254361284,0.9993014041990042,0.9992275552122467,0.8573877273667386,0.9992566497282203,0.9255758479853633,0.8688419358104124,56962,0.9992275552122467,0.9733259018294994,0.7943420226337675
f1,0.9996130575488954,0.7924528301886793,0.9993014041990042,0.9992275552122467,0.8573877273667386,0.9992566497282203,0.9255758479853633,0.8688419358104124,56962,0.9992275552122467,0.9733259018294994,0.7943420226337675
geo,0.9255758479853633,0.9255758479853633,0.9993014041990042,0.9992275552122467,0.8573877273667386,0.9992566497282203,0.9255758479853633,0.8688419358104124,56962,0.9992275552122467,0.9733259018294994,0.7943420226337675
iba,0.8688838914166831,0.8444974093309655,0.9993014041990042,0.9992275552122467,0.8573877273667386,0.9992566497282203,0.9255758479853633,0.8688419358104124,56962,0.9992275552122467,0.9733259018294994,0.7943420226337675
sup,56864.0,98.0,0.9993014041990042,0.9992275552122467,0.8573877273667386,0.9992566497282203,0.9255758479853633,0.8688419358104124,56962,0.9992275552122467,0.9733259018294994,0.7943420226337675
