,0,1,avg_pre,avg_rec,avg_spe,avg_f1,avg_geo,avg_iba,total_support,Accuracy,AUC,MCC
pre,0.9997361199071142,0.7033898305084746,0.9992262723532876,0.9991222218320986,0.8472010500202553,0.9991627825144278,0.920009500818281,0.8592763551605104,56962,0.9991222218320986,0.9786737852147048,0.7714090062217428
rec,0.9993844963421497,0.8469387755102041,0.9992262723532876,0.9991222218320986,0.8472010500202553,0.9991627825144278,0.920009500818281,0.8592763551605104,56962,0.9991222218320986,0.9786737852147048,0.7714090062217428
spe,0.8469387755102041,0.9993844963421497,0.9992262723532876,0.9991222218320986,0.8472010500202553,0.9991627825144278,0.920009500818281,0.8592763551605104,56962,0.9991222218320986,0.9786737852147048,0.7714090062217428
f1,0.9995602772012524,0.7685185185185185,0.9992262723532876,0.9991222218320986,0.8472010500202553,0.9991627825144278,0.920009500818281,0.8592763551605104,56962,0.9991222218320986,0.9786737852147048,0.7714090062217428
geo,0.9200095008182809,0.9200095008182809,0.9992262723532876,0.9991222218320986,0.8472010500202553,0.9991627825144278,0.920009500818281,0.8592763551605104,56962,0.9991222218320986,0.9786737852147048,0.7714090062217428
iba,0.8593207539065673,0.8335142092852378,0.9992262723532876,0.9991222218320986,0.8472010500202553,0.9991627825144278,0.920009500818281,0.8592763551605104,56962,0.9991222218320986,0.9786737852147048,0.7714090062217428
sup,56864.0,98.0,0.9992262723532876,0.9991222218320986,0.8472010500202553,0.9991627825144278,0.920009500818281,0.8592763551605104,56962,0.9991222218320986,0.9786737852147048,0.7714090062217428
