,0,1,avg_pre,avg_rec,avg_spe,avg_f1,avg_geo,avg_iba,total_support,Accuracy,AUC,MCC,Classification_Cost
pre,0.9997362544616953,0.9325842696629213,0.9996207231511676,0.9996313331694814,0.8472019274279484,0.9996224760940732,0.9202442126083604,0.8597578860838593,56962,0.9996313331694814,0.9623476852755734,0.8885493961318942,9627630.199999997
rec,0.9998944850872257,0.8469387755102041,0.9996207231511676,0.9996313331694814,0.8472019274279484,0.9996224760940732,0.9202442126083604,0.8597578860838593,56962,0.9996313331694814,0.9623476852755734,0.8885493961318942,9627630.199999997
spe,0.8469387755102041,0.9998944850872257,0.9996207231511676,0.9996313331694814,0.8472019274279484,0.9996224760940732,0.9202442126083604,0.8597578860838593,56962,0.9996313331694814,0.9623476852755734,0.8885493961318942,9627630.199999997
f1,0.999815363514072,0.8877005347593584,0.9996207231511676,0.9996313331694814,0.8472019274279484,0.9996224760940732,0.9202442126083604,0.8597578860838593,56962,0.9996313331694814,0.9623476852755734,0.8885493961318942,9627630.199999997
geo,0.9202442126083603,0.9202442126083603,0.9996207231511676,0.9996313331694814,0.8472019274279484,0.9996224760940732,0.9202442126083604,0.8597578860838593,56962,0.9996313331694814,0.9623476852755734,0.8885493961318942,9627630.199999997
iba,0.85980245609316,0.8338963655852021,0.9996207231511676,0.9996313331694814,0.8472019274279484,0.9996224760940732,0.9202442126083604,0.8597578860838593,56962,0.9996313331694814,0.9623476852755734,0.8885493961318942,9627630.199999997
sup,56864.0,98.0,0.9996207231511676,0.9996313331694814,0.8472019274279484,0.9996224760940732,0.9202442126083604,0.8597578860838593,56962,0.9996313331694814,0.9623476852755734,0.8885493961318942,9627630.199999997
