,0,1,avg_pre,avg_rec,avg_spe,avg_f1,avg_geo,avg_iba,total_support,Accuracy,AUC,MCC
pre,0.9997362080790673,0.8383838383838383,0.9994586101676504,0.9994557775359011,0.8472016248735714,0.9994571564185203,0.920163284271226,0.8595918359784228,56962,0.9994557775359011,0.9760143787396782,0.8423779089254358
rec,0.9997186268992684,0.8469387755102041,0.9994586101676504,0.9994557775359011,0.8472016248735714,0.9994571564185203,0.920163284271226,0.8595918359784228,56962,0.9994557775359011,0.9760143787396782,0.8423779089254358
spe,0.8469387755102041,0.9997186268992684,0.9994586101676504,0.9994557775359011,0.8472016248735714,0.9994571564185203,0.920163284271226,0.8595918359784228,56962,0.9994557775359011,0.9760143787396782,0.8423779089254358
f1,0.9997274174118723,0.8426395939086294,0.9994586101676504,0.9994557775359011,0.8472016248735714,0.9994571564185203,0.920163284271226,0.8595918359784228,56962,0.9994557775359011,0.9760143787396782,0.8423779089254358
geo,0.920163284271226,0.920163284271226,0.9994586101676504,0.9994557775359011,0.8472016248735714,0.9994571564185203,0.920163284271226,0.8595918359784228,56962,0.9994557775359011,0.9760143787396782,0.8423779089254358
iba,0.8596363469143087,0.8337645925273094,0.9994586101676504,0.9994557775359011,0.8472016248735714,0.9994571564185203,0.920163284271226,0.8595918359784228,56962,0.9994557775359011,0.9760143787396782,0.8423779089254358
sup,56864.0,98.0,0.9994586101676504,0.9994557775359011,0.8472016248735714,0.9994571564185203,0.920163284271226,0.8595918359784228,56962,0.9994557775359011,0.9760143787396782,0.8423779089254358
