,0,1,avg_pre,avg_rec,avg_spe,avg_f1,avg_geo,avg_iba,total_support,Accuracy,AUC,MCC,Classification_Cost
pre,0.9995253915519696,0.9726027397260274,0.9994790726046198,0.9994908886626171,0.7249637356181587,0.9994537288664058,0.8511546947681289,0.7443528269979893,56962,0.9994908886626171,0.9485502645768492,0.8392036225480524,9474409.659999996
rec,0.9999648283624085,0.7244897959183674,0.9994790726046198,0.9994908886626171,0.7249637356181587,0.9994537288664058,0.8511546947681289,0.7443528269979893,56962,0.9994908886626171,0.9485502645768492,0.8392036225480524,9474409.659999996
spe,0.7244897959183674,0.9999648283624085,0.9994790726046198,0.9994908886626171,0.7249637356181587,0.9994537288664058,0.8511546947681289,0.7443528269979893,56962,0.9994908886626171,0.9485502645768492,0.8392036225480524,9474409.659999996
f1,0.9997450616687032,0.8304093567251463,0.9994790726046198,0.9994908886626171,0.7249637356181587,0.9994537288664058,0.8511546947681289,0.7443528269979893,56962,0.9994908886626171,0.9485502645768492,0.8392036225480524,9474409.659999996
geo,0.8511546947681289,0.8511546947681289,0.9994790726046198,0.9994908886626171,0.7249637356181587,0.9994537288664058,0.8511546947681289,0.7443528269979893,56962,0.9994908886626171,0.9485502645768492,0.8392036225480524,9474409.659999996
iba,0.7444214974779271,0.7045071313737261,0.9994790726046198,0.9994908886626171,0.7249637356181587,0.9994537288664058,0.8511546947681289,0.7443528269979893,56962,0.9994908886626171,0.9485502645768492,0.8392036225480524,9474409.659999996
sup,56864.0,98.0,0.9994790726046198,0.9994908886626171,0.7249637356181587,0.9994537288664058,0.8511546947681289,0.7443528269979893,56962,0.9994908886626171,0.9485502645768492,0.8392036225480524,9474409.659999996
