,0,1,avg_pre,avg_rec,avg_spe,avg_f1,avg_geo,avg_iba,total_support,Accuracy,AUC,MCC,Classification_Cost
pre,0.9982692851087878,0.0,0.9965518174998439,0.9923457743758998,0.00171021887114586,0.9944443485498231,0.0,0.0,56962,0.9923457743758998,0.1430832462416593,-0.003207394737291331,12131784.72
rec,0.9940559932470456,0.0,0.9965518174998439,0.9923457743758998,0.00171021887114586,0.9944443485498231,0.0,0.0,56962,0.9923457743758998,0.1430832462416593,-0.003207394737291331,12131784.72
spe,0.0,0.9940559932470456,0.9965518174998439,0.9923457743758998,0.00171021887114586,0.9944443485498231,0.0,0.0,56962,0.9923457743758998,0.1430832462416593,-0.003207394737291331,12131784.72
f1,0.9961581841251939,0.0,0.9965518174998439,0.9923457743758998,0.00171021887114586,0.9944443485498231,0.0,0.0,56962,0.9923457743758998,0.1430832462416593,-0.003207394737291331,12131784.72
geo,0.0,0.0,0.9965518174998439,0.9923457743758998,0.00171021887114586,0.9944443485498231,0.0,0.0,56962,0.9923457743758998,0.1430832462416593,-0.003207394737291331,12131784.72
iba,0.0,0.0,0.9965518174998439,0.9923457743758998,0.00171021887114586,0.9944443485498231,0.0,0.0,56962,0.9923457743758998,0.1430832462416593,-0.003207394737291331,12131784.72
sup,56864.0,98.0,0.9965518174998439,0.9923457743758998,0.00171021887114586,0.9944443485498231,0.0,0.0,56962,0.9923457743758998,0.1430832462416593,-0.003207394737291331,12131784.72
