,0,1,avg_pre,avg_rec,avg_spe,avg_f1,avg_geo,avg_iba,total_support,Accuracy,AUC,MCC,Classification_Cost
pre,0.9997889516171582,0.8349514563106796,0.9995053577380802,0.9994908886626171,0.8777611728260187,0.999497209701265,0.9366368926661345,0.8879678787380635,56962,0.9994908886626171,0.9799155593582396,0.8557322850416248,9762470.339999998
rec,0.9997010410804728,0.8775510204081632,0.9995053577380802,0.9994908886626171,0.8777611728260187,0.999497209701265,0.9366368926661345,0.8879678787380635,56962,0.9994908886626171,0.9799155593582396,0.8557322850416248,9762470.339999998
spe,0.8775510204081632,0.9997010410804728,0.9995053577380802,0.9994908886626171,0.8777611728260187,0.999497209701265,0.9366368926661345,0.8879678787380635,56962,0.9994908886626171,0.9799155593582396,0.8557322850416248,9762470.339999998
f1,0.9997449944162571,0.8557213930348259,0.9995053577380802,0.9994908886626171,0.8777611728260187,0.999497209701265,0.9366368926661345,0.8879678787380635,56962,0.9994908886626171,0.9799155593582396,0.8557322850416248,9762470.339999998
geo,0.9366368926661345,0.9366368926661345,0.9995053577380802,0.9994908886626171,0.8777611728260187,0.999497209701265,0.9366368926661345,0.8879678787380635,56962,0.9994908886626171,0.9799155593582396,0.8557322850416248,9762470.339999998
iba,0.8880047516050407,0.8665725858015032,0.9995053577380802,0.9994908886626171,0.8777611728260187,0.999497209701265,0.9366368926661345,0.8879678787380635,56962,0.9994908886626171,0.9799155593582396,0.8557322850416248,9762470.339999998
sup,56864.0,98.0,0.9995053577380802,0.9994908886626171,0.8777611728260187,0.999497209701265,0.9366368926661345,0.8879678787380635,56962,0.9994908886626171,0.9799155593582396,0.8557322850416248,9762470.339999998
