,0,1,avg_pre,avg_rec,avg_spe,avg_f1,avg_geo,avg_iba,total_support,Accuracy,AUC,MCC,Classification_Cost
pre,0.9982794943820225,0.0,0.9965620092085833,0.9982444436641972,0.0017203846982113697,0.9974025169475842,0.0,0.0,56962,0.9982444436641972,0.827797419263147,-0.0002459939025048241,8785370.48
rec,0.9999648283624085,0.0,0.9965620092085833,0.9982444436641972,0.0017203846982113697,0.9974025169475842,0.0,0.0,56962,0.9982444436641972,0.827797419263147,-0.0002459939025048241,8785370.48
spe,0.0,0.9999648283624085,0.9965620092085833,0.9982444436641972,0.0017203846982113697,0.9974025169475842,0.0,0.0,56962,0.9982444436641972,0.827797419263147,-0.0002459939025048241,8785370.48
f1,0.9991214506606692,0.0,0.9965620092085833,0.9982444436641972,0.0017203846982113697,0.9974025169475842,0.0,0.0,56962,0.9982444436641972,0.827797419263147,-0.0002459939025048241,8785370.48
geo,0.0,0.0,0.9965620092085833,0.9982444436641972,0.0017203846982113697,0.9974025169475842,0.0,0.0,56962,0.9982444436641972,0.827797419263147,-0.0002459939025048241,8785370.48
iba,0.0,0.0,0.9965620092085833,0.9982444436641972,0.0017203846982113697,0.9974025169475842,0.0,0.0,56962,0.9982444436641972,0.827797419263147,-0.0002459939025048241,8785370.48
sup,56864.0,98.0,0.9965620092085833,0.9982444436641972,0.0017203846982113697,0.9974025169475842,0.0,0.0,56962,0.9982444436641972,0.827797419263147,-0.0002459939025048241,8785370.48
