,0,1,avg_pre,avg_rec,avg_spe,avg_f1,avg_geo,avg_iba,total_support,Accuracy,AUC,MCC,Classification_Cost
pre,0.9982795547909132,0.0,0.996562069513544,0.9982795547909132,0.0017204452090867595,0.9974200728063972,0.0,0.0,56962,0.9982795547909132,0.8180822413377281,0.0,8765417.64
rec,1.0,0.0,0.996562069513544,0.9982795547909132,0.0017204452090867595,0.9974200728063972,0.0,0.0,56962,0.9982795547909132,0.8180822413377281,0.0,8765417.64
spe,0.0,1.0,0.996562069513544,0.9982795547909132,0.0017204452090867595,0.9974200728063972,0.0,0.0,56962,0.9982795547909132,0.8180822413377281,0.0,8765417.64
f1,0.9991390367754291,0.0,0.996562069513544,0.9982795547909132,0.0017204452090867595,0.9974200728063972,0.0,0.0,56962,0.9982795547909132,0.8180822413377281,0.0,8765417.64
geo,0.0,0.0,0.996562069513544,0.9982795547909132,0.0017204452090867595,0.9974200728063972,0.0,0.0,56962,0.9982795547909132,0.8180822413377281,0.0,8765417.64
iba,0.0,0.0,0.996562069513544,0.9982795547909132,0.0017204452090867595,0.9974200728063972,0.0,0.0,56962,0.9982795547909132,0.8180822413377281,0.0,8765417.64
sup,56864.0,98.0,0.996562069513544,0.9982795547909132,0.0017204452090867595,0.9974200728063972,0.0,0.0,56962,0.9982795547909132,0.8180822413377281,0.0,8765417.64
