,0,1,avg_pre,avg_rec,avg_spe,avg_f1,avg_geo,avg_iba,total_support,Accuracy,AUC,MCC
pre,0.9998975068542292,0.005241148592138277,0.9981862550879694,0.6867209718759875,0.9587141084589039,0.8125209462249255,0.8113206181040816,0.640337437985328,56962,0.6867209718759875,0.9593211299714033,0.05759052431467759
rec,0.6862514068655037,0.9591836734693877,0.9981862550879694,0.6867209718759875,0.9587141084589039,0.8125209462249255,0.8113206181040816,0.640337437985328,56962,0.6867209718759875,0.9593211299714033,0.05759052431467759
spe,0.9591836734693877,0.6862514068655037,0.9981862550879694,0.6867209718759875,0.9587141084589039,0.8125209462249255,0.8113206181040816,0.640337437985328,56962,0.6867209718759875,0.9593211299714033,0.05759052431467759
f1,0.8139032860226715,0.010425331336993289,0.9981862550879694,0.6867209718759875,0.9587141084589039,0.8125209462249255,0.8113206181040816,0.640337437985328,56962,0.6867209718759875,0.9593211299714033,0.05759052431467759
geo,0.8113206181040817,0.8113206181040817,0.9981862550879694,0.6867209718759875,0.9587141084589039,0.8125209462249255,0.8113206181040816,0.640337437985328,56962,0.6867209718759875,0.9593211299714033,0.05759052431467759
iba,0.6402756205832636,0.676206670138315,0.9981862550879694,0.6867209718759875,0.9587141084589039,0.8125209462249255,0.8113206181040816,0.640337437985328,56962,0.6867209718759875,0.9593211299714033,0.05759052431467759
sup,56864.0,98.0,0.9981862550879694,0.6867209718759875,0.9587141084589039,0.8125209462249255,0.8113206181040816,0.640337437985328,56962,0.6867209718759875,0.9593211299714033,0.05759052431467759
