,0,1,avg_pre,avg_rec,avg_spe,avg_f1,avg_geo,avg_iba,total_support,Accuracy,AUC,MCC,Classification_Cost
pre,0.9997362359106016,0.8924731182795699,0.9995516955937616,0.9995611109160493,0.8472018064061976,0.9995553759418874,0.9202118421275789,0.8596914654152272,56962,0.9995611109160493,0.9806959749290826,0.869189159858927,9665458.639999999
rec,0.9998241418120428,0.8469387755102041,0.9995516955937616,0.9995611109160493,0.8472018064061976,0.9995553759418874,0.9202118421275789,0.8596914654152272,56962,0.9995611109160493,0.9806959749290826,0.869189159858927,9665458.639999999
spe,0.8469387755102041,0.9998241418120428,0.9995516955937616,0.9995611109160493,0.8472018064061976,0.9995553759418874,0.9202118421275789,0.8596914654152272,56962,0.9995611109160493,0.9806959749290826,0.869189159858927,9665458.639999999
f1,0.9997801869290355,0.8691099476439791,0.9995516955937616,0.9995611109160493,0.8472018064061976,0.9995553759418874,0.9202118421275789,0.8596914654152272,56962,0.9995611109160493,0.9806959749290826,0.869189159858927,9665458.639999999
geo,0.9202118421275789,0.9202118421275789,0.9995516955937616,0.9995611109160493,0.8472018064061976,0.9995553759418874,0.9202118421275789,0.8596914654152272,56962,0.9995611109160493,0.9806959749290826,0.869189159858927,9665458.639999999
iba,0.859736011792999,0.8338436569906654,0.9995516955937616,0.9995611109160493,0.8472018064061976,0.9995553759418874,0.9202118421275789,0.8596914654152272,56962,0.9995611109160493,0.9806959749290826,0.869189159858927,9665458.639999999
sup,56864.0,98.0,0.9995516955937616,0.9995611109160493,0.8472018064061976,0.9995553759418874,0.9202118421275789,0.8596914654152272,56962,0.9995611109160493,0.9806959749290826,0.869189159858927,9665458.639999999
