,0,1,avg_pre,avg_rec,avg_spe,avg_f1,avg_geo,avg_iba,total_support,Accuracy,AUC,MCC
pre,0.9997362127180641,0.8469387755102041,0.9994733330992591,0.9994733330992591,0.8472016551290091,0.9994733330992591,0.9201713774252306,0.8596084407540447,56962,0.9994733330992591,0.9811542829005547,0.8466749882282683
rec,0.9997362127180641,0.8469387755102041,0.9994733330992591,0.9994733330992591,0.8472016551290091,0.9994733330992591,0.9201713774252306,0.8596084407540447,56962,0.9994733330992591,0.9811542829005547,0.8466749882282683
spe,0.8469387755102041,0.9997362127180641,0.9994733330992591,0.9994733330992591,0.8472016551290091,0.9994733330992591,0.9201713774252306,0.8596084407540447,56962,0.9994733330992591,0.9811542829005547,0.8466749882282683
f1,0.9997362127180641,0.8469387755102041,0.9994733330992591,0.9994733330992591,0.8472016551290091,0.9994733330992591,0.9201713774252306,0.8596084407540447,56962,0.9994733330992591,0.9811542829005547,0.8466749882282683
geo,0.9201713774252306,0.9201713774252306,0.9994733330992591,0.9994733330992591,0.8472016551290091,0.9994733330992591,0.9201713774252306,0.8596084407540447,56962,0.9994733330992591,0.9811542829005547,0.8466749882282683
iba,0.8596529575964609,0.8337777700688312,0.9994733330992591,0.9994733330992591,0.8472016551290091,0.9994733330992591,0.9201713774252306,0.8596084407540447,56962,0.9994733330992591,0.9811542829005547,0.8466749882282683
sup,56864.0,98.0,0.9994733330992591,0.9994733330992591,0.8472016551290091,0.9994733330992591,0.9201713774252306,0.8596084407540447,56962,0.9994733330992591,0.9811542829005547,0.8466749882282683
