,0,1,avg_pre,avg_rec,avg_spe,avg_f1,avg_geo,avg_iba,total_support,Accuracy,AUC,MCC,Classification_Cost
pre,0.9982793131298943,0.0,0.9965618282682895,0.998139110284049,0.0017202031655851999,0.9973498456692644,0.0,0.0,56962,0.998139110284049,0.8189037503014712,-0.0004920137193360267,8844729.309999999
rec,0.9998593134496342,0.0,0.9965618282682895,0.998139110284049,0.0017202031655851999,0.9973498456692644,0.0,0.0,56962,0.998139110284049,0.8189037503014712,-0.0004920137193360267,8844729.309999999
spe,0.0,0.9998593134496342,0.9965618282682895,0.998139110284049,0.0017202031655851999,0.9973498456692644,0.0,0.0,56962,0.998139110284049,0.8189037503014712,-0.0004920137193360267,8844729.309999999
f1,0.9990686886081288,0.0,0.9965618282682895,0.998139110284049,0.0017202031655851999,0.9973498456692644,0.0,0.0,56962,0.998139110284049,0.8189037503014712,-0.0004920137193360267,8844729.309999999
geo,0.0,0.0,0.9965618282682895,0.998139110284049,0.0017202031655851999,0.9973498456692644,0.0,0.0,56962,0.998139110284049,0.8189037503014712,-0.0004920137193360267,8844729.309999999
iba,0.0,0.0,0.9965618282682895,0.998139110284049,0.0017202031655851999,0.9973498456692644,0.0,0.0,56962,0.998139110284049,0.8189037503014712,-0.0004920137193360267,8844729.309999999
sup,56864.0,98.0,0.9965618282682895,0.998139110284049,0.0017202031655851999,0.9973498456692644,0.0,0.0,56962,0.998139110284049,0.8189037503014712,-0.0004920137193360267,8844729.309999999
