,0,1,avg_pre,avg_rec,avg_spe,avg_f1,avg_geo,avg_iba,total_support,Accuracy,AUC,MCC
pre,0.9998708911095618,0.005100082259391281,0.9981594424373361,0.681419191741863,0.9485184755028626,0.8087835715042722,0.8038751871146439,0.6289549516404558,56962,0.681419191741863,0.9571017278605309,0.055958943592369234
rec,0.680958075407991,0.9489795918367347,0.9981594424373361,0.681419191741863,0.9485184755028626,0.8087835715042722,0.8038751871146439,0.6289549516404558,56962,0.681419191741863,0.9571017278605309,0.055958943592369234
spe,0.9489795918367347,0.680958075407991,0.9981594424373361,0.681419191741863,0.9485184755028626,0.8087835715042722,0.8038751871146439,0.6289549516404558,56962,0.681419191741863,0.9571017278605309,0.055958943592369234
f1,0.8101599522967644,0.010145639011618393,0.9981594424373361,0.681419191741863,0.9485184755028626,0.8087835715042722,0.8038751871146439,0.6289549516404558,56962,0.681419191741863,0.9571017278605309,0.055958943592369234
geo,0.8038751871146439,0.8038751871146439,0.9981594424373361,0.681419191741863,0.9485184755028626,0.8087835715042722,0.8038751871146439,0.6289549516404558,56962,0.681419191741863,0.9571017278605309,0.055958943592369234
iba,0.6288953555529322,0.6635352773642753,0.9981594424373361,0.681419191741863,0.9485184755028626,0.8087835715042722,0.8038751871146439,0.6289549516404558,56962,0.681419191741863,0.9571017278605309,0.055958943592369234
sup,56864.0,98.0,0.9981594424373361,0.681419191741863,0.9485184755028626,0.8087835715042722,0.8038751871146439,0.6289549516404558,56962,0.681419191741863,0.9571017278605309,0.055958943592369234
